"artista","musica","generos","key","duracao","popularidade","acustico","discurso","vivacidade","instrumentalidade","energia","tempo","time_signature","sonoridade","dancabilidade","valencia"
"Juice WRLD","734","chicago rap, melodic rap","D",196146,65,0.134,0.0343,0.116,0,0.554,156.822,4,-3.975,0.635,0.315
"Bruno Mars","777","dance pop, pop","Cs",165000,61,0.00269,0.0946,0.335,0.000566,0.622,102.015,4,-11.003,0.836,0.892
"Joji","777","viral pop","Cs",181772,60,0.268,0.0863,0.139,2.98e-06,0.604,179.636,4,-9.933,0.574,0.181
"Matuê","777-666","r&b brasileiro, rap cearense, trap brasileiro","As",164000,66,0.0534,0.326,0.139,0,0.802,179.924,4,-4.534,0.544,0.322
"Drake","7am On Bridle Path","canadian hip hop, canadian pop, hip hop, rap, toronto rap","F",239635,60,0.225,0.298,0.11,0,0.531,89.901,4,-4.108,0.724,0.141
"TOOL","7empest","alternative metal, alternative rock, art rock, nu metal, progressive metal, progressive rock, rock","G",943528,53,7.35e-05,0.0369,0.0957,0.835,0.804,144.756,5,-7.397,0.323,0.384
"Billie Eilish","8","art pop, electropop, pop","Ds",173201,65,0.698,0.315,0.107,0.00604,0.235,62.446,4,-13.239,0.735,0.462
"Bon Iver","8 (circle)","eau claire indie, indie folk, melancholia","A",309013,50,0.911,0.0349,0.0999,0.0478,0.407,125.127,4,-10.77,0.411,0.0728
"Why Don't We","8 Letters","boy band, dance pop, pop, post-teen pop","Cs",190026,70,0.649,0.031,0.0928,0,0.478,88.979,4,-5.702,0.607,0.255
"Drake","8 Out Of 10","canadian hip hop, canadian pop, hip hop, rap, toronto rap","D",195720,56,0.161,0.741,0.498,0,0.689,170.538,4,-7.87,0.527,0.31
"Morgan Wallen","865","contemporary country","Gs",190680,68,0.723,0.0248,0.101,0,0.584,88.003,4,-5.254,0.532,0.367
"Drake","9","canadian hip hop, canadian pop, hip hop, rap, toronto rap","As",255786,59,0.000803,0.0453,0.237,0.000612,0.712,100.009,4,-7.184,0.68,0.0379
"J. Cole","9 5 . s o u t h","conscious hip hop, hip hop, north carolina hip hop, rap","D",196946,62,0.271,0.397,0.727,0,0.793,71.724,4,-5.277,0.713,0.203
"Khalid","9.13","pop, pop r&b","D",55720,38,0.975,0.0538,0.222,0.942,0.451,131.72,3,-15.013,0.289,0.59
"Shirin David","90-60-111","frauenrap, german hip hop, german pop","D",141386,49,0.103,0.285,0.391,0,0.628,143.979,4,-6.615,0.8,0.745
"Salmo","90MIN","italian hip hop, italian underground hip hop, rap sardegna","Cs",231920,56,0.0253,0.309,0.855,0,0.765,122.002,4,-5.138,0.549,0.513
"Sech","911","panamanian pop, reggaeton, urbano latino","G",215891,60,0.076,0.0422,0.296,1.76e-06,0.655,93.029,4,-3.815,0.795,0.744
"Lady Gaga","911","art pop, dance pop, pop","F",172133,63,0.0294,0.0374,0.519,2.07e-06,0.813,116.007,4,-4.563,0.789,0.42
"Damso","911","belgian hip hop, french hip hop, pop urbaine, rap belge, rap conscient","B",172293,62,0.0894,0.0545,0.0986,0.0287,0.706,155.989,4,-7.02,0.685,0.64
"Lady Gaga","911 - Charli XCX & A. G. Cook Remix","art pop, dance pop, pop","Gs",253642,43,0.146,0.0515,0.363,5.56e-06,0.812,122.908,4,-4.799,0.6,0.355
"Tyler, The Creator","911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy)","hip hop, rap","C",255653,70,0.0456,0.305,0.313,0,0.61,90.034,4,-7.042,0.48,0.297
"PNL","91's","french hip hop, pop urbaine","E",233596,51,0.277,0.0827,0.0804,0,0.705,103.048,4,-7.834,0.779,0.228
"Post Malone","92 Explorer","dfw rap, melodic rap, rap","G",211426,67,0.265,0.0476,0.114,1.25e-06,0.733,146.046,4,-4.811,0.798,0.861
"Selena Gomez","999 (with Camilo)","dance pop, pop, post-teen pop","Cs",224168,60,0.105,0.242,0.156,0,0.748,149.819,4,-4.604,0.781,0.788
"Marracash","∞ LOVE (feat. Guè)","italian hip hop, italian underground hip hop, rap napoletano","G",218367,65,0.105,0.071,0.0873,0,0.828,125.002,4,-5.191,0.726,0.307
"Tyler, The Creator","A BOY IS A GUN*","hip hop, rap","D",210253,68,0.575,0.178,0.496,0,0.689,79.568,4,-8.302,0.417,0.505
"BTS","A Brand New Day (BTS World Original Soundtrack) [Pt. 2]","k-pop, k-pop boy group","Gs",205019,55,0.339,0.0571,0.18,0.000236,0.498,105.008,4,-7.387,0.804,0.704
"Prince","A Case of You - Piano & A Microphone 1983 Version","funk, funk rock, minneapolis sound, synth funk","D",100533,27,0.93,0.0436,0.435,0.00232,0.164,81.514,4,-14.445,0.502,0.393
"DJ Snake","A Different Way (with Lauv)","dance pop, edm, electronic trap, pop, pop dance, pop rap","Gs",198285,60,0.495,0.0384,0.142,1.18e-06,0.757,104.996,4,-3.912,0.784,0.587
"Gusttavo Lima","A Gente Fez Amor - Ao Vivo","arrocha, sertanejo, sertanejo universitario","Gs",237516,58,0.366,0.0336,0.962,4.15e-06,0.937,134.012,4,-2.44,0.794,0.826
"John Legend","A Good Night","neo soul, pop, pop soul, r&b, urban contemporary","As",203453,51,0.104,0.203,0.105,0,0.707,109.827,4,-5.516,0.53,0.696
"The Beatles","A Hard Day's Night - Remastered 2009","beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","C",154200,64,0.137,0.0371,0.0996,0,0.805,138.514,4,-6.481,0.59,0.797
"Coldplay","A Head Full of Dreams","permanent wave, pop","B",223773,64,0.0021,0.0737,0.334,0.0167,0.92,122.984,4,-4.982,0.449,0.0772
"Brett Eldredge","A Holly Jolly Christmas","adult standards, contemporary country, country, country road, modern country rock","G",142840,58,0.621,0.0423,0.137,1.24e-06,0.474,71.957,4,-8.623,0.681,0.7
"Drake","A Keeper","canadian hip hop, canadian pop, hip hop, rap, toronto rap","Cs",173097,65,0.512,0.0701,0.115,0.000104,0.482,121.909,4,-11.596,0.6,0.323
"Coldplay","A L I E N S","permanent wave, pop","A",282426,51,0.00157,0.0366,0.206,0.000944,0.876,148,5,-4.982,0.427,0.261
"PNL","A l'ammoniaque","french hip hop, pop urbaine","A",316545,58,0.4,0.0437,0.0953,0.000367,0.371,127.966,4,-9.965,0.592,0.197
"French Montana","A Lie","gangster rap, hip hop, pop rap, rap, southern hip hop, trap","Cs",226790,47,0.0235,0.216,0.404,0,0.792,121.189,5,-5.38,0.516,0.524
"The Weeknd","A Lonely Night","canadian contemporary r&b, canadian pop, pop","G",220173,68,0.0431,0.0755,0.0891,8.71e-06,0.663,113.998,4,-6.955,0.853,0.864
"21 Savage","a lot","atl hip hop, rap","Cs",288624,78,0.0395,0.086,0.342,0.00125,0.636,145.972,4,-7.643,0.837,0.274
"J. Cole","a m a r i","conscious hip hop, hip hop, north carolina hip hop, rap","E",148421,70,0.127,0.187,0.617,0,0.713,65.988,4,-6.173,0.725,0.207
"Henrique & Juliano","A Maior Saudade - Ao Vivo","arrocha, sertanejo universitario","B",190161,66,0.571,0.0533,0.87,0,0.626,162.824,4,-4.78,0.292,0.305
"P!nk","A Million Dreams","dance pop, pop","G",273640,63,0.272,0.0397,0.0901,0,0.499,148.173,4,-6.282,0.312,0.191
"DJ Jazzy Jeff & The Fresh Prince","A Nightmare On My Street","gangster rap, golden age hip hop, hip hop, old school hip hop, philly rap, rap","D",370040,29,0.0426,0.106,0.0976,0,0.616,170.396,4,-11.311,0.717,0.581
"J. Cole","a p p l y i n g . p r e s s u r e","conscious hip hop, hip hop, north carolina hip hop, rap","Cs",177337,58,0.0814,0.311,0.312,0,0.759,83.092,4,-5.302,0.699,0.404
"Linkin Park","A Place for My Head","alternative metal, nu metal, post-grunge, rap metal","B",184640,67,0.0144,0.184,0.671,0,0.908,133.063,4,-5.254,0.603,0.457
"Coldplay","A Sky Full of Stars","permanent wave, pop","Fs",267866,80,0.00617,0.0279,0.209,0.00197,0.675,124.97,4,-6.474,0.545,0.162
"Selena Gomez","A Sweeter Place (feat. Kid Cudi)","dance pop, pop, post-teen pop","As",263305,47,0.109,0.185,0.108,0.000509,0.777,190.054,4,-6.991,0.583,0.31
"The Weeknd","A Tale By Quincy","canadian contemporary r&b, canadian pop, pop","F",96232,57,0.679,0.127,0.096,2.98e-05,0.513,67.289,3,-8.67,0.447,0.572
"J. Cole","A Tale Of 2 Citiez","conscious hip hop, hip hop, north carolina hip hop, rap","B",269721,65,0.553,0.323,0.294,1.05e-06,0.536,94.995,4,-8.534,0.771,0.343
"Post Malone","A Thousand Bad Times","dfw rap, melodic rap, rap","Fs",221173,62,0.105,0.092,0.111,1.15e-05,0.732,159,4,-3.498,0.632,0.317
"Christina Perri","A Thousand Years","dance pop, neo mellow, pop, pop rock, post-teen pop","As",285120,76,0.309,0.0267,0.11,0.000961,0.407,139.028,3,-7.445,0.421,0.161
"Bad Bunny","A Tu Merced","reggaeton, trap latino, urbano latino","C",175918,77,0.169,0.0568,0.106,0.000106,0.791,92.023,4,-4.784,0.86,0.887
"Rocco Hunt","A Un Passo Dalla Luna","italian hip hop, italian pop, pop virale italiano, rap napoletano","As",167313,55,0.39,0.0429,0.34,0,0.78,121.97,4,-5.324,0.755,0.897
"Paulo Londra","A Veces (feat. Feid)","argentine hip hop, trap argentino, trap latino, urbano latino","Cs",191555,71,0.0396,0.0574,0.0783,0,0.672,92.005,4,-4.392,0.795,0.805
"The xx","A Violent Noise","downtempo, dream pop, indietronica","C",227466,42,0.747,0.0373,0.127,0.172,0.422,119.344,4,-8.886,0.55,0.14
"ZAYN","A Whole New World (End Title) - From ""Aladdin""","dance pop, pop, post-teen pop, uk pop","D",242956,61,0.0575,0.0319,0.0861,0,0.414,110.508,4,-8.16,0.302,0.105
"A$AP Rocky","A$AP Forever (feat. Moby)","east coast hip hop, hip hop, rap, trap","As",233061,60,0.224,0.122,0.13,0,0.78,125.999,4,-6.49,0.469,0.444
"A$AP Rocky","A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)","east coast hip hop, hip hop, rap, trap","F",315773,59,0.3,0.179,0.136,0,0.754,125.948,4,-6.416,0.428,0.394
"21 Savage","a&t","atl hip hop, rap","F",211588,49,0.00169,0.0961,0.0898,0,0.567,146.976,4,-5.009,0.924,0.827
"Trippie Redd","A.L.L.T.Y. 3","melodic rap, rap, trap","Gs",180800,43,0.111,0.452,0.121,0,0.785,150.159,4,-5.376,0.561,0.458
"One Direction","A.M.","boy band, pop, post-teen pop, talent show","Ds",209040,61,0.227,0.0309,0.0963,0,0.527,141.839,4,-4.905,0.586,0.506
"Luan Santana","ABALO EMOCIONAL - Ao Vivo","arrocha, sertanejo, sertanejo pop, sertanejo universitario","Ds",153225,70,0.306,0.112,0.252,0,0.915,185.936,4,-4.096,0.441,0.726
"GAYLE","abcdefu","modern alternative pop","E",168601,81,0.299,0.0493,0.367,0,0.54,121.932,4,-5.692,0.695,0.415
"GAYLE","abcdefu (angrier)","modern alternative pop","E",159836,67,0.0658,0.0405,0.101,0,0.599,121.849,3,-6.18,0.671,0.448
"Lizzo","About Damn Time","dance pop, escape room, minnesota hip hop, pop, trap queen","As",191822,81,0.0995,0.0656,0.335,0,0.743,108.966,4,-6.305,0.836,0.722
"Sfera Ebbasta","Abracadabra (feat. Future)","italian hip hop, italian pop, trap italiana, trap latino","F",192964,43,0.0461,0.174,0.112,0,0.681,131.988,4,-7.091,0.846,0.809
"Juan Gabriel","Abrázame Muy Fuerte","cancion melodica, latin pop, mariachi, musica mexicana, ranchera","E",239426,70,0.689,0.0567,0.126,0,0.387,135.739,4,-7.343,0.515,0.312
"Jason Derulo","Acapulco","dance pop, edm, pop, pop rap, post-teen pop","As",139672,75,0.051,0.0523,0.155,0,0.792,122.062,4,-4.021,0.774,0.507
"Christina Aguilera","Accelerate (feat. Ty Dolla $ign & 2 Chainz)","dance pop, pop, post-teen pop","C",243061,34,0.371,0.14,0.15,2.01e-06,0.629,128.041,4,-5.638,0.799,0.293
"Motörhead","Ace of Spades","album rock, hard rock, metal, rock, speed metal","E",166360,71,4.02e-05,0.0758,0.0823,0.000121,0.91,140.452,4,-7.748,0.342,0.547
"Jovem Dionisio","ACORDA PEDRINHO","indie curitibano","B",173085,62,0.187,0.341,0.666,1.71e-06,0.359,124.016,4,-11.169,0.876,0.876
"The Weeknd","Acquainted","canadian contemporary r&b, canadian pop, pop","G",348853,73,0.482,0.0503,0.0844,0,0.478,101.102,4,-9.835,0.372,0.254
"One Direction","Act My Age","boy band, pop, post-teen pop, talent show","Fs",198653,57,0.00287,0.0402,0.0978,2.26e-05,0.883,135.899,4,-4.722,0.495,0.642
"YUNGBLUD","acting like that (feat. Machine Gun Kelly)","british indie rock, modern rock, rock","C",191066,52,6.98e-05,0.0719,0.3,0,0.9,160.01,4,-2.631,0.522,0.579
"Nas","Adam and Eve","conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap","A",250760,49,0.0453,0.218,0.318,0,0.803,92.401,4,-5.107,0.624,0.172
"Paulo Londra","Adan y Eva","argentine hip hop, trap argentino, trap latino, urbano latino","Cs",258638,67,0.323,0.336,0.0676,0,0.709,171.993,4,-4.47,0.767,0.72
"Avicii","Addicted To You","dance pop, edm, pop, pop dance, pop rap","Cs",148386,67,0.0505,0.0457,0.086,1.12e-06,0.785,128.031,4,-4.057,0.569,0.303
"Brent Faiyaz","ADDICTIONS (FEAT. Tre' Amani)","dmv rap, hip hop, pop, r&b, rap","As",192010,67,0.0209,0.108,0.0814,1.78e-05,0.489,93.039,4,-8.587,0.889,0.843
"Gunna","ADDYS (feat. Nechie)","atl hip hop, hip hop, melodic rap, rap, trap","B",179373,44,0.0275,0.27,0.105,0.00715,0.631,150.015,4,-8.925,0.883,0.378
"Rusherking","Además de Mí - Remix","trap argentino, trap triste","Fs",330040,66,0.0396,0.0549,0.192,0,0.613,78.4,4,-5.077,0.397,0.405
"Daddy Yankee","Adictiva","latin hip hop, reggaeton, urbano latino","E",207853,65,0.291,0.0563,0.172,5.62e-05,0.771,99.038,4,-3.206,0.788,0.701
"Tainy","Adicto (with Anuel AA & Ozuna)","latin hip hop, latin pop, pop reggaeton, reggaeton, reggaeton flow, trap latino, urbano latino","As",270740,73,0.017,0.0735,0.179,1.64e-05,0.836,80.002,4,-4.803,0.734,0.623
"Maluma","ADMV","reggaeton, reggaeton colombiano, urbano latino","A",193699,65,0.817,0.0556,0.126,0,0.39,163.781,4,-4.959,0.565,0.708
"Harry Styles","Adore You","pop","Gs",207133,81,0.0237,0.0483,0.102,7e-06,0.771,99.048,4,-3.675,0.676,0.569
"Wisin","Adrenalina (feat. Jennifer Lopez & Ricky Martin)","latin hip hop, reggaeton, urbano latino","F",235546,62,0.0856,0.145,0.0927,0,0.944,124.987,4,-2.793,0.685,0.757
"RAF Camora","Adriana","german hip hop","G",165129,56,0.469,0.0529,0.118,0.00188,0.803,135.034,4,-5.755,0.763,0.672
"Coldplay","Adventure of a Lifetime","permanent wave, pop","G",263786,74,0.00205,0.036,0.149,0.000175,0.924,111.995,4,-3.887,0.638,0.53
"Shindy","Affalterbach","german hip hop","Fs",173220,33,0.0131,0.325,0.385,0,0.677,115.908,5,-4.666,0.819,0.765
"LF SYSTEM","Afraid To Feel","disco house, house","Cs",177524,78,0.0166,0.114,0.273,0.00362,0.912,127.87,4,-3.929,0.578,0.68
"TOTO","Africa","album rock, classic rock, mellow gold, rock, soft rock, yacht rock","A",295893,79,0.257,0.0323,0.0481,8.01e-05,0.373,92.718,4,-18.064,0.671,0.732
"Logic","AfricAryaN","conscious hip hop, dmv rap, hip hop, pop rap, rap","As",728413,41,0.155,0.166,0.0858,0,0.8,104.058,4,-7.025,0.529,0.356
"Drake","After Dark (feat. Static Major & Ty Dolla $ign)","canadian hip hop, canadian pop, hip hop, rap, toronto rap","D",289560,54,0.0407,0.192,0.142,0,0.429,141.966,4,-13.075,0.687,0.336
"The Weeknd","After Hours","canadian contemporary r&b, canadian pop, pop","F",361026,82,0.0811,0.0305,0.121,0.00604,0.572,108.959,4,-6.099,0.664,0.143
"Bruno Mars","After Last Night","dance pop, pop","C",249444,1,0.0297,0.0816,0.0608,0,0.703,140.051,4,-8.958,0.651,0.647
"IVE","After LIKE","k-pop girl group","C",176973,80,0.103,0.121,0.0877,0,0.922,125.014,4,-1.215,0.68,0.799
"Don Toliver","After Party","pop, rap, trap","F",167915,74,0.00981,0.0376,0.603,0.331,0.692,162.948,4,-8.045,0.629,0.453
"Charli XCX","After the Afterparty (feat. Lil Yachty)","art pop, candy pop, dance pop, electropop, metropopolis, pop, post-teen pop, uk pop","G",219480,47,0.121,0.0894,0.365,0,0.794,93.008,4,-3.828,0.653,0.645
"Ed Sheeran","Afterglow","pop, uk pop","B",185486,70,0.698,0.0299,0.328,0,0.324,110.184,4,-5.851,0.641,0.273
"Taylor Swift","Afterglow","pop","A",223293,74,0.13,0.0344,0.114,0,0.449,111.011,4,-8.746,0.756,0.399
"Joji","Afterthought","viral pop","Cs",194871,65,0.398,0.0353,0.0931,0.0766,0.547,83.5,4,-8.024,0.668,0.192
"Fetty Wap","Again","dance pop, new jersey rap, pop, pop rap, rap, southern hip hop, trap","B",312240,64,0.0062,0.072,0.329,0,0.733,93.019,4,-4.421,0.748,0.291
"Noah Cyrus","Again (feat. XXXTENTACION)","pop","A",193961,63,0.188,0.0338,0.135,5.75e-05,0.738,119.973,4,-4.095,0.664,0.203
"DENNIS","Agora é Tudo Meu","funk carioca, funk das antigas","F",171998,55,0.7,0.106,0.184,2.81e-06,0.933,139.998,4,-3.306,0.848,0.506
"MC's Jhowzinho & Kadinho","Agora Vai Sentar","brega funk, funk carioca","Ds",228922,49,0.189,0.0359,0.0876,0,0.653,130.099,4,-0.02,0.814,0.706
"Bad Bunny","Agosto","reggaeton, trap latino, urbano latino","Cs",139041,76,0.0929,0.115,0.492,6.18e-06,0.584,115.018,4,-8.195,0.849,0.724
"Daddy Yankee","AGUA","latin hip hop, reggaeton, urbano latino","F",204520,63,0.0495,0.0421,0.0751,2.61e-05,0.68,118.03,4,-4.082,0.834,0.32
"Tainy","Agua (with J Balvin)","latin hip hop, latin pop, pop reggaeton, reggaeton, reggaeton flow, trap latino, urbano latino","A",159665,64,0.167,0.266,0.177,0,0.651,100.094,4,-5.421,0.778,0.569
"Maluma","Agua de Jamaica","reggaeton, reggaeton colombiano, urbano latino","As",176970,59,0.123,0.0879,0.411,0,0.665,173.961,4,-3.616,0.664,0.726
"Bad Bunny","Aguacero","reggaeton, trap latino, urbano latino","Fs",210989,75,0.423,0.0743,0.349,0.000592,0.645,121.391,5,-6.96,0.861,0.668
"MC K.K","Agudo Mágico 3","funk mandelao, funk mtg","Fs",176360,81,0.221,0.0504,0.0728,0.0352,0.797,129.966,4,-2.405,0.649,0.49
"Lil Durk","AHHH HA","chicago drill, chicago rap, drill, hip hop, rap, trap","Cs",186538,61,0.000114,0.273,0.191,1.73e-06,0.61,156.005,4,-9.185,0.676,0.519
"J Balvin","Ahora","reggaeton, reggaeton colombiano, urbano latino","Ds",254720,50,0.0997,0.0638,0.0859,0.000145,0.716,88.002,4,-5.038,0.81,0.811
"Chris Jedi","Ahora Dice","latin hip hop, reggaeton, reggaeton flow, trap latino, urbano latino","Fs",270493,70,0.255,0.158,0.129,0,0.691,143.982,4,-5.414,0.704,0.427
"KAROL G","Ahora Me Llama","reggaeton, reggaeton colombiano, urbano latino","G",235226,67,0.00949,0.041,0.0932,3.98e-05,0.573,134.979,4,-5.716,0.646,0.109
"Quevedo","AHORA QUÉ","rap canario, urbano latino","D",171428,80,0.212,0.0943,0.128,0,0.765,101.545,3,-5.457,0.447,0.542
"L7NNON","Ai Preto","funk carioca, funk rj, pop rap brasileiro","Fs",131583,75,0.537,0.245,0.0993,0,0.57,129.947,4,-5.149,0.953,0.834
"Ninho","Aïcha","french hip hop, pop urbaine","Ds",219314,56,0.324,0.136,0.121,2.87e-05,0.622,98.079,4,-6.565,0.843,0.442
"Avicii","Ain't A Thing (feat. Bonn)","dance pop, edm, pop, pop dance, pop rap","A",183660,45,0.544,0.0552,0.0538,0,0.423,170.162,4,-7.286,0.454,0.245
"Headie One","Ain't It Different (feat. AJ Tracey & Stormzy)","uk hip hop","E",196363,59,0.00988,0.216,0.109,1.45e-05,0.569,77.052,4,-6.805,0.767,0.524
"Future","Ain't Livin Right (feat. Gunna)","atl hip hop, rap, southern hip hop, trap","C",230533,55,0.0492,0.206,0.226,0,0.503,142.011,4,-8.06,0.755,0.524
"Zara Larsson","Ain't My Fault","dance pop, edm, electropop, pop, pop dance, post-teen pop, scandipop, swedish electropop, swedish pop, tropical house","Fs",224030,64,0.00778,0.0296,0.285,0,0.782,141.153,4,-4.825,0.576,0.355
"Marvin Gaye","Ain't No Mountain High Enough","classic soul, funk, motown, northern soul, quiet storm, soul","G",151666,78,0.43,0.032,0.184,0,0.6,129.991,4,-10.87,0.663,0.8
"Peg Parnevik","Ain't No Saint","swedish pop","E",187360,37,0.016,0.0363,0.344,0.00013,0.763,84.637,4,-3.72,0.55,0.531
"Bill Withers","Ain't No Sunshine","classic soul, funk, quiet storm, soul","E",125093,76,0.457,0.122,0.117,1.72e-05,0.415,78.169,4,-11.451,0.527,0.515
"Felix Jaehn","Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)","dance pop, edm, electro house, german dance, pop, pop dance, tropical house","D",186146,69,0.672,0.0311,0.0698,0.000197,0.566,117.971,4,-6.959,0.778,0.479
"Doja Cat","Ain't Shit","dance pop, pop","Ds",174253,75,0.506,0.208,0.347,0,0.488,124.097,4,-4.601,0.855,0.619
"Van Halen","Ain't Talkin' 'Bout Love - 2015 Remaster","album rock, classic rock, hard rock, metal, rock","Gs",227800,64,0.021,0.0416,0.288,0.000305,0.938,139.138,4,-5.964,0.518,0.71
"D'Angelo","Ain't That Easy","funk, indie soul, neo soul, soul, urban contemporary","Fs",289346,39,0.137,0.415,0.185,0.000402,0.644,176.176,4,-8.111,0.545,0.614
"Jennifer Lopez","Ain't Your Mama","dance pop, pop, pop rap, urban contemporary","Gs",218234,67,0.0472,0.233,0.0654,9.14e-06,0.678,120.075,4,-5.529,0.757,0.82
"Mora","AIRBNB","trap latino, urbano latino","C",185527,71,0.258,0.0587,0.0822,0,0.718,90.934,4,-4.799,0.81,0.5
"BTS","Airplane pt.2","k-pop, k-pop boy group","C",218614,67,0.0265,0.0339,0.084,0.000103,0.817,139.979,4,-4.092,0.77,0.866
"Pashanim","Airwaves","german alternative rap, german drill, german hip hop","F",178932,63,0.0739,0.0783,0.102,0.0903,0.578,131.999,4,-7.416,0.885,0.388
"Robin Schulz","Alane","dance pop, deep euro house, deep house, edm, german dance, pop, pop dance, pop rap, tropical house","Ds",175016,54,0.0419,0.164,0.11,9.43e-06,0.799,124.002,4,-6.66,0.581,0.662
"Anne-Marie","Alarm","dance pop, pop, pop dance, post-teen pop, tropical house, uk pop","C",205593,57,0.0812,0.232,0.176,0,0.589,146.928,4,-5.093,0.756,0.811
"Maggie Rogers","Alaska","indie pop, pop","A",188000,63,0.411,0.0507,0.108,0.00176,0.386,104.001,4,-10.668,0.847,0.178
"J. Cole","Album of the Year - Freestyle","conscious hip hop, hip hop, north carolina hip hop, rap","As",138872,56,0.0805,0.32,0.476,0,0.816,94.211,4,-7.046,0.705,0.929
"TWICE","Alcohol-Free","k-pop, k-pop girl group","Gs",210573,67,0.0474,0.0624,0.0674,1.35e-06,0.909,97.097,4,-1.992,0.688,0.702
"Eminem","Alfred - Interlude","detroit hip hop, hip hop, rap","F",30133,43,0.878,0.402,0.279,0,0.231,74.545,5,-20.43,0.429,0.914
